date,meantemp
1/1/13,10
1/2/13,7.4
1/3/13,7.166666667
1/4/13,8.666666667
1/5/13,6
1/6/13,7
1/7/13,7
1/8/13,8.857142857
1/9/13,14
1/10/13,11
1/11/13,15.71428571
1/12/13,14
1/13/13,15.83333333
1/14/13,12.83333333
1/15/13,14.71428571
1/16/13,13.83333333
1/17/13,16.5
1/18/13,13.83333333
1/19/13,12.5
1/20/13,11.28571429
1/21/13,11.2
1/22/13,9.5
1/23/13,14
1/24/13,13.83333333
1/25/13,12.25
1/26/13,12.66666667
1/27/13,12.85714286
1/28/13,14.83333333
1/29/13,14.125
1/30/13,14.71428571
1/31/13,16.2
2/1/13,16
2/2/13,16.28571429
2/3/13,18
2/4/13,17.42857143
2/5/13,16.625
2/6/13,16.66666667
2/7/13,15.6
2/8/13,14
2/9/13,15.42857143
2/10/13,15.25
2/11/13,15.875
2/12/13,15.33333333
2/13/13,16.28571429
2/14/13,17.33333333
2/15/13,19.16666667
2/16/13,14.42857143
2/17/13,13.66666667
2/18/13,15.6
2/19/13,15.85714286
2/20/13,17.71428571
2/21/13,20
2/22/13,20.5
2/23/13,17.42857143
2/24/13,16.85714286
2/25/13,16.875
2/26/13,17.85714286
2/27/13,20.8
2/28/13,19.42857143
3/1/13,17.33333333
3/2/13,19
3/3/13,19.33333333
3/4/13,17.6
3/5/13,20.875
3/6/13,20.85714286
3/7/13,23.42857143
3/8/13,24.16666667
3/9/13,25.42857143
3/10/13,23.14285714
3/11/13,24
3/12/13,23.5
3/13/13,21.5
3/14/13,22.33333333
3/15/13,24.16666667
3/16/13,20.33333333
3/17/13,22.66666667
3/18/13,23.42857143
3/19/13,22.5
3/20/13,29.16666667
3/21/13,23.83333333
3/22/13,25.25
3/23/13,27.375
3/24/13,27
3/25/13,23.5
3/26/13,24.14285714
3/27/13,21
3/28/13,22.42857143
3/29/13,21.25
3/30/13,23.5
3/31/13,23.2
4/1/13,25.375
4/2/13,25.16666667
4/3/13,26.2
4/4/13,24.6
4/5/13,25.6
4/6/13,25.85714286
4/7/13,29.14285714
4/8/13,28.71428571
4/9/13,30.16666667
4/10/13,30
4/11/13,30
4/12/13,28.85714286
4/13/13,30.2
4/14/13,28.25
4/15/13,28.25
4/16/13,32.125
4/17/13,29.2
4/18/13,30.28571429
4/19/13,28.28571429
4/20/13,30.625
4/21/13,27.66666667
4/22/13,27.375
4/23/13,28.625
4/24/13,30.28571429
4/25/13,31.14285714
4/26/13,29.875
4/27/13,31.14285714
4/28/13,30.57142857
4/29/13,32.125
4/30/13,31.14285714
5/1/13,31.85714286
5/2/13,29.83333333
5/3/13,28.57142857
5/4/13,32.85714286
5/5/13,32.625
5/6/13,32.75
5/7/13,32.875
5/8/13,34.5
5/9/13,34.28571429
5/10/13,34
5/11/13,30.75
5/12/13,29.85714286
5/13/13,31.71428571
5/14/13,32.28571429
5/15/13,33
5/16/13,33
5/17/13,32.83333333
5/18/13,31.4
5/19/13,35.33333333
5/20/13,36.4
5/21/13,36
5/22/13,36.75
5/23/13,37.5
5/24/13,38.42857143
5/25/13,38.71428571
5/26/13,37.8
5/27/13,35.85714286
5/28/13,35.33333333
5/29/13,34.14285714
5/30/13,32.2
5/31/13,33.625
6/1/13,32
6/2/13,32.4
6/3/13,35.6
6/4/13,35.85714286
6/5/13,37.16666667
6/6/13,31.28571429
6/7/13,34
6/8/13,34.2
6/9/13,36.16666667
6/10/13,36.625
6/11/13,30.16666667
6/12/13,34.14285714
6/13/13,29.83333333
6/14/13,30.14285714
6/15/13,30.71428571
6/16/13,27
6/17/13,26.875
6/18/13,28.4
6/19/13,29.85714286
6/20/13,33
6/21/13,34.83333333
6/22/13,35.6
6/23/13,35.16666667
6/24/13,33.14285714
6/25/13,30.57142857
6/26/13,30.66666667
6/27/13,31.42857143
6/28/13,31.5
6/29/13,33.25
6/30/13,32.83333333
7/1/13,33.85714286
7/2/13,33.14285714
7/3/13,31.57142857
7/4/13,32.375
7/5/13,32.8
7/6/13,31
7/7/13,31.16666667
7/8/13,29.83333333
7/9/13,29
7/10/13,29.75
7/11/13,32.5
7/12/13,28.875
7/13/13,31.75
7/14/13,30.75
7/15/13,31.75
7/16/13,29.875
7/17/13,31.125
7/18/13,31.75
7/19/13,30.5
7/20/13,26.83333333
7/21/13,28.2
7/22/13,29.5
7/23/13,31.85714286
7/24/13,29.71428571
7/25/13,28.33333333
7/26/13,30
7/27/13,30.14285714
7/28/13,32.28571429
7/29/13,31
7/30/13,30.5
7/31/13,28.83333333
8/1/13,30
8/2/13,31.57142857
8/3/13,32.5
8/4/13,32.5
8/5/13,29.5
8/6/13,27.16666667
8/7/13,28.375
8/8/13,28.5
8/9/13,27.16666667
8/10/13,29.42857143
8/11/13,30
8/12/13,29.5
8/13/13,30.75
8/14/13,29.66666667
8/15/13,27.71428571
8/16/13,26.6
8/17/13,27.42857143
8/18/13,28.33333333
8/19/13,28.16666667
8/20/13,27.375
8/21/13,28.33333333
8/22/13,29.16666667
8/23/13,31.28571429
8/24/13,32
8/25/13,29
8/26/13,32
8/27/13,32.14285714
8/28/13,30.14285714
8/29/13,31.5
8/30/13,29.16666667
8/31/13,29
9/1/13,30
9/2/13,31.85714286
9/3/13,32.75
9/4/13,31.71428571
9/5/13,31.66666667
9/6/13,30.57142857
9/7/13,30.83333333
9/8/13,28
9/9/13,31
9/10/13,29.66666667
9/11/13,30.85714286
9/12/13,31.16666667
9/13/13,31.14285714
9/14/13,30.5
9/15/13,31.625
9/16/13,29.66666667
9/17/13,29.25
9/18/13,29.14285714
9/19/13,29.8
9/20/13,28.66666667
9/21/13,25.2
9/22/13,28.33333333
9/23/13,30.28571429
9/24/13,30.75
9/25/13,28.57142857
9/26/13,28.2
9/27/13,29
9/28/13,30
9/29/13,28.14285714
9/30/13,26.85714286
10/1/13,28.28571429
10/2/13,29.2
10/3/13,28.6
10/4/13,24.83333333
10/5/13,28.5
10/6/13,29.75
10/7/13,29.71428571
10/8/13,29.2
10/9/13,30.83333333
10/10/13,29.42857143
10/11/13,23.85714286
10/12/13,26.14285714
10/13/13,27.16666667
10/14/13,27.71428571
10/15/13,25.85714286
10/16/13,26.42857143
10/17/13,26.85714286
10/18/13,26.33333333
